iter	RMSE
1498	39321.76476
1499	39320.70309
1500	39318.23996
1501	39316.74455
1502	39311.56848
1503	39308.35912
1504	39304.40531
1505	39298.29269
1506	39291.72593
1507	39291.20292
1508	39290.53942
1509	39289.79769
1510	39288.09227
1511	39285.891
1512	39283.65694
1513	39273.33472
1514	39269.00986
1515	39267.19386
1516	39264.79262
1517	39262.49834
1518	39261.09123
1519	39257.2683
1520	39255.74974
1521	39252.34577
1522	39249.88858
1523	39244.23367
1524	39243.20396
1525	39239.29502
1526	39236.72994
1527	39234.54587
1528	39232.3669
1529	39229.88627
1530	39223.40847
1531	39220.61441
1532	39218.56661
1533	39212.72104
1534	39207.17998
1535	39203.14075
1536	39201.00808
1537	39196.41496
1538	39191.61837
1539	39191.15732
1540	39189.76431
1541	39182.86021
1542	39182.23881
1543	39178.31966
1544	39176.83874
1545	39159.31522
1546	39157.21683
1547	39155.98422
1548	39154.845
1549	39149.50643
1550	39140.23072
1551	39136.26877
1552	39130.20961
1553	39129.25974
1554	39126.1289
1555	39117.60578
1556	39115.93504
1557	39110.27899
1558	39102.53002
1559	39101.72725
1560	39096.3618
1561	39094.91894
1562	39090.34899
1563	39088.02878
1564	39083.2713
1565	39081.45289
1566	39067.17921
1567	39065.8192
1568	39061.61226
1569	39058.51571
1570	39055.69138
1571	39044.78922
1572	39042.526
1573	39039.11993
1574	39037.33128
1575	39034.04179
1576	39032.48476
1577	39031.46544
1578	39027.74812
1579	39020.97763
1580	39017.87691
1581	39015.3041
1582	39010.63223
1583	39007.57608
1584	39007.20369
1585	38997.72837
1586	38996.92063
1587	38994.26647
1588	38980.94449
1589	38977.6188
1590	38974.53345
1591	38967.14611
1592	38966.45598
1593	38965.98909
1594	38958.89085
1595	38957.76485
1596	38950.9075
1597	38948.9868
1598	38947.10953
1599	38946.08246
1600	38945.03948
1601	38943.5695
1602	38942.36703
1603	38942.25735
1604	38937.91022
1605	38937.03037
1606	38925.4602
1607	38922.96891
1608	38920.13242
1609	38915.79858
1610	38910.77613
1611	38907.08388
1612	38901.81389
1613	38894.48633
1614	38891.64268
1615	38890.16386
1616	38885.15235
1617	38882.66695
1618	38880.37562
1619	38879.87951
1620	38869.79749
1621	38867.74327
1622	38865.35622
1623	38862.14867
1624	38858.27212
1625	38857.17426
1626	38854.80955
1627	38851.01109
1628	38839.45524
1629	38837.13414
1630	38836.10634
1631	38832.38754
1632	38830.78726
1633	38827.01072
1634	38826.92468
1635	38819.75522
1636	38818.59612
1637	38808.73774
1638	38807.97414
1639	38801.08237
1640	38798.8866
1641	38792.91968
1642	38792.19984
1643	38789.54056
1644	38787.52003
1645	38785.32003
1646	38782.67351
1647	38771.12718
1648	38768.39837
1649	38767.27022
1650	38763.97674
1651	38762.55446
1652	38759.06011
1653	38756.83922
1654	38754.82423
1655	38753.28768
1656	38749.79905
1657	38746.42909
1658	38743.96418
1659	38738.97739
1660	38735.83183
